Column,Target,Field,Description,Datatype,Origin,Notes,Code,Todo,Format
33,1,DiskID,List of Disks / ID,String Array,Native PowerCLI Value,,(Get-SpbmEntityConfiguration -HardDisk (Get-HardDisk -VM $oVMGuest)).id,,
34,1,DiskStoragePolicy,List of Disks / Storage Policy,String Array,Native PowerCLI Value,,(Get-SpbmEntityConfiguration -HardDisk (Get-HardDisk -VM $oVMGuest)).storagepolicy.name,,
35,1,DiskFileName,List of Disks / File Name,String Array,Native PowerCLI Value,,(get-HardDisk -VM $oVMGuest).Filename,,
36,1,DiskSizeGB,List of Disks / Size GB,String Array,Native PowerCLI Value,,(get-HardDisk -VM $oVMGuest).CapacityGB,,R
37,1,LocalHardDisksPath,List of Disks as Seen From Within The VM,String Array,,,(get-VMGuest -VM $oVMGuest).Disks.Path,,
38,1,LocalHardDisksCapacityGB,List of Disks as Seen From Within The VM,String Array,,,(get-VMGuest -VM $oVMGuest).Disks.CapacityGB,,R
39,1,LocalHardDisksFreespaceGB,List of Disks as Seen From Within The VM,String Array,,,(get-VMGuest -VM $oVMGuest).Disks.FreespaceGB,,R
40,1,LocalHardDiskTotalGB,Total Used Space of Disks within the VM,Number,Total CapacityGB minus Total FreeSpaceGB,If script is unable to access the local VM OS this value is taken from ProvisionedSpaceGB,,,T
1,2,Name,Host Name,String,Native PowerCLI Value,,$_.Name,,
2,2,ConnectionState,Power Status of the Host,String,Native PowerCLI Value,,$_.ConnectionState,,
3,2,vCenter,Parent vCenter Server,String,Native PowerCLI Value,,,,
4,2,Cluster,Parent Cluster,String,Native PowerCLI Value,,(Get-Cluster -vmhost $oVMHost),,
5,2,Vendor,Hardware Vendor,String,Native PowerCLI Value,,$oVMHost.ExtensionData.Hardware.SystemInfo.Vendor,,
6,2,Model,Hardware Model,String,Native PowerCLI Value,,$oVMHost.ExtensionData.Hardware.SystemInfo.Model,,
7,2,EncryptionMode,Encryption Mode,String,Native PowerCLI Value,,($oVMHost | Get-EsxCli -v2).System.Settings.Encryption.Get.Invoke().Mode,,
8,2,RequireSecureBoot,Require Secure Book,String,Native PowerCLI Value,,($oVMHost | Get-EsxCli -v2).System.Settings.Encryption.Get.Invoke().RequireSecureBoot,,
9,2,EncryptionRecoveryID,Encryption Recovery ID,String,Native PowerCLI Value,,($oVMHost | Get-EsxCli -v2).System.Settings.Encryption.Recovery.List.Invoke().RecoveryId,,
10,2,EncryptionRecoveryKey,EncryptionRecovery Key,String,Native PowerCLI Value,,($oVMHost | Get-EsxCli -v2).System.Settings.Encryption.Recovery.List.Invoke().EncryptionRecoveryKey,,
11,2,SerialNumber,Hardware Serial Number,String,Native PowerCLI Value,,($oVMHost | get-esxcli -V2).hardware.platform.get.invoke().enclosureserialnumber,,
12,2,PSNT,"Dell VxRail ""DE"" Serial Number",String,Native PowerCLI Value,,,,
13,2,IPMIIP,iDRAC/iLo IP Address,String,Native PowerCLI Value,,($oVMHost|get-esxcli -V2).hardware.ipmi.bmc.get.invoke().ipv4address,,
14,2,LicenseKey,Associated VM License Key,String,Native PowerCLI Value,,$_.LicenseKey,,
15,2,NumCpu,Number of CPU Cores,Numeric,Native PowerCLI Value,,$_.NumCpu,,
16,2,CryptoState,Crypography Capability State,String,Native PowerCLI Value,,$_.CryptoState,,
17,2,Version,ESXi Version,String,Native PowerCLI Value,,$_.Version,,
18,2,Build,ESXi Build Number,String,Native PowerCLI Value,,$_.Build,,
19,2,MemoryTotalGB,Total Memory / GB,Numeric,Native PowerCLI Value,,$_.MemoryTotalGB,,
20,2,MaxEVCMode,CPU Capability Level,String,Native PowerCLI Value,,$_.MaxEVCMode,,
21,2,ProcessorType,CPU Type,String,Native PowerCLI Value,,$_.ProcessorType,,
22,2,LocationCode,Four Letter Location Code,String,Derived from LocationID custom attribute.,,,,
23,2,DatastoreName,List of Available Datastore Names,String Array,Native PowerCLI Value,,,,
24,2,DatastoreType,List of Available Datastore Types,String Array,Native PowerCLI Value,,,,
25,2,DatastoreCapacityGB,List of Datastore Capacities / GB,Numeric Array,Native PowerCLI Value,,,,R
26,2,NetworkAdapter,List of Networks,String Array,Native PowerCLI Value,,(Get-VirtualPortGroup -vmhost $oVMHost).name,,
27,2,NetworkSwitch,List of Network Switches,String Array,Native PowerCLI Value,,(Get-Virtualswitch -vmhost $oVMHost).name,,
